Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Decimal Int256 25/show,4.4912428690419e-4,4.4848101952459394e-4,4.5032618528551504e-4,2.7236400111069845e-6,1.884515503474473e-6,4.1145974919740556e-6
1000/Decimal Int256 25/read,1.8861669860838865e-3,1.8809296877920095e-3,1.8930713252194005e-3,2.021546586334143e-5,1.5700938750508892e-5,2.466746550111575e-5
1000/Decimal Integer 50/+,1.72581522005487e-5,1.7092602452234958e-5,1.744727898238222e-5,6.442288178793977e-7,5.431292944723938e-7,7.325815487292718e-7
1000/Decimal Integer 50/-,1.9946937654313485e-5,1.9856350159210988e-5,2.0060944767432264e-5,3.3927223984173805e-7,2.8394707442027305e-7,3.990764779564215e-7
1000/Decimal Integer 50/*,1.3299968583614508e-4,1.322715655999384e-4,1.3409731309467878e-4,2.9149326333785614e-6,2.337812650361075e-6,3.4436343897988106e-6
1000/Decimal Integer 50//,1.2787121392064264e-4,1.2775920463812046e-4,1.280872630117518e-4,4.811907836162246e-7,2.716890561328646e-7,7.499522433879457e-7
1000/Decimal Integer 50/abs,8.858538328310139e-6,8.833793226744366e-6,8.878653369162688e-6,7.173200398036274e-8,6.586616248072891e-8,7.773443811598819e-8
1000/Decimal Integer 50/signum,8.076826294578057e-6,8.057167226019347e-6,8.097467944040071e-6,7.024175549752034e-8,6.581895403429394e-8,7.431932077499967e-8
1000/Decimal Integer 50/fromRational,2.4879999944084363e-4,2.480658618882507e-4,2.4994271380708176e-4,3.1030280062817167e-6,2.2379165116982826e-6,4.233956483310025e-6
1000/Decimal Integer 50/toRational,3.214080735352747e-4,3.200747326709235e-4,3.233459046883914e-4,5.24502220798684e-6,3.9890475676542225e-6,6.83235318546759e-6
1000/Decimal Integer 50/show,5.661826498546727e-4,5.659056893209609e-4,5.668666223920493e-4,1.4025044583689303e-6,6.052393817246033e-7,2.6873987052267877e-6
1000/Decimal Integer 50/read,1.580054546865469e-3,1.5793419232868477e-3,1.5811227372194323e-3,2.9523052564608025e-6,2.147477707113767e-6,4.1718016444518405e-6
1000/Decimal Word64 5/+,3.4605277436701366e-6,3.4587704268864796e-6,3.4634953542864287e-6,8.12940420685186e-9,5.998299973035976e-9,1.1520163042036785e-8
1000/Decimal Word64 5/-,3.4608944938615642e-6,3.4595869733500516e-6,3.463324134880159e-6,5.901950167456385e-9,3.5867926774815437e-9,1.0216705608236138e-8
1000/Decimal Word64 5/*,6.852894288110016e-6,6.8478303938836175e-6,6.8631315129412225e-6,2.2471425780011534e-8,7.83835261503961e-9,3.7143457676066594e-8
1000/Decimal Word64 5//,6.877136225492438e-6,6.851837163407959e-6,6.930211901471988e-6,1.2432754662212087e-7,4.4060518840606745e-8,2.029713348717021e-7
1000/Decimal Word64 5/abs,8.811795762926085e-6,8.796401023106058e-6,8.83812330840215e-6,6.801167360216835e-8,5.4742967043226416e-8,9.863943511948538e-8
1000/Decimal Word64 5/signum,8.058116516664389e-6,8.043419116489931e-6,8.078453597018957e-6,5.962918739092416e-8,5.0362789674219626e-8,7.009576982867364e-8
1000/Decimal Word64 5/fromRational,9.417302692042881e-5,9.3826665294002e-5,9.472814246616753e-5,1.4315348822303653e-6,9.645132567670494e-7,1.9464251800765023e-6
1000/Decimal Word64 5/toRational,4.9878534551383e-5,4.982694565904089e-5,4.995130294152751e-5,2.0508966590555715e-7,1.4773309120870506e-7,2.559457468118316e-7
1000/Decimal Word64 5/show,1.0129509509464165e-4,1.0107999352852799e-4,1.0162166297547573e-4,8.472631652904111e-7,6.18939610897229e-7,1.3224893637197342e-6
1000/Decimal Word64 5/read,1.035658292967333e-3,1.0340423816686632e-3,1.0378228491768004e-3,6.3470576322297215e-6,5.158169813790257e-6,8.46098939444417e-6
1000/Decimal Word128 5/+,3.4943678707228804e-6,3.489469952343786e-6,3.505000597205572e-6,2.2059324904188183e-8,1.229373852048133e-8,3.826400550205796e-8
1000/Decimal Word128 5/-,3.7453573085506336e-6,3.743953179471624e-6,3.7482240392572774e-6,6.2470725471046946e-9,3.509372178794225e-9,1.1278113156866678e-8
1000/Decimal Word128 5/*,1.692668641055595e-5,1.6911962617170465e-5,1.696971783504591e-5,8.23314645162154e-8,2.8934364212443734e-8,1.5128486742321463e-7
1000/Decimal Word128 5//,1.6464347729184358e-5,1.645085492138349e-5,1.647904831014212e-5,4.6108903647031294e-8,3.3688368722090414e-8,6.075355270342992e-8
1000/Decimal Word128 5/abs,8.843692244943224e-6,8.824051698150867e-6,8.872737944678513e-6,7.74152953567794e-8,6.467828714199864e-8,9.611426074518267e-8
1000/Decimal Word128 5/signum,8.083143703688779e-6,8.063110108919018e-6,8.11132562893433e-6,7.788947017296617e-8,5.856311226278907e-8,1.0843548061059819e-7
1000/Decimal Word128 5/fromRational,1.9620446097614192e-4,1.960495839835387e-4,1.967310369912065e-4,8.380264470224954e-7,3.4482223962016794e-7,1.7636511302455853e-6
1000/Decimal Word128 5/toRational,5.9316180039449555e-5,5.900931500783184e-5,5.9867129646908356e-5,1.3130460389147616e-6,7.27514752271776e-7,1.935322951937105e-6
1000/Decimal Word128 5/show,1.3021373290433356e-4,1.3009997392421932e-4,1.3059417613426556e-4,6.194927929129904e-7,1.9327683626146155e-7,1.2373540137612465e-6
1000/Decimal Word128 5/read,1.0799180341316496e-3,1.0759123609294e-3,1.0867783045190452e-3,1.745166687231419e-5,9.811060493492687e-6,2.6091835507989652e-5
1000/Decimal Word256 15/+,4.656508119275532e-6,4.6482255780473196e-6,4.669189729382841e-6,3.442406907137263e-8,2.6571522034614757e-8,4.953775207782938e-8
1000/Decimal Word256 15/-,5.410889205295687e-6,5.397313497896236e-6,5.425125326311324e-6,4.881554210972419e-8,4.495947359311739e-8,5.852470577280707e-8
1000/Decimal Word256 15/*,1.5030620890402692e-4,1.5011450423181135e-4,1.5074406316435154e-4,9.041394236998424e-7,3.6835360077303707e-7,1.4828230032505254e-6
1000/Decimal Word256 15//,1.4927970579763262e-4,1.4918446584969935e-4,1.4940775973383007e-4,3.8846679132069243e-7,2.7149214650666716e-7,5.495450322117134e-7
1000/Decimal Word256 15/abs,8.809473737577077e-6,8.791566781295355e-6,8.82987708903215e-6,6.13467549743992e-8,4.934784887367398e-8,7.205039412944273e-8
1000/Decimal Word256 15/signum,8.076502738233429e-6,8.063096771707923e-6,8.093627379361951e-6,5.2211440758535294e-8,4.3024428668499246e-8,6.106836121487054e-8
1000/Decimal Word256 15/fromRational,9.794188947856355e-4,9.787389585010962e-4,9.8052977799339e-4,3.065429321699001e-6,2.0620649031952402e-6,5.242005894965368e-6
1000/Decimal Word256 15/toRational,8.045283904272524e-5,8.026263082675921e-5,8.07867815304135e-5,7.89382238852459e-7,4.871775387172622e-7,1.2402566285942504e-6
1000/Decimal Word256 15/show,2.814859432433684e-4,2.813873963706933e-4,2.8162938518527477e-4,4.2879407230546413e-7,3.2739797530898194e-7,5.928553077667189e-7
1000/Decimal Word256 15/read,1.6276397993556326e-3,1.6267804624724123e-3,1.6288127556104265e-3,3.2747842038278336e-6,2.618225266257832e-6,4.279544079713536e-6
1000/DecimalRaw Integer/+,6.94394823681958e-5,6.941846001061808e-5,6.948082994110005e-5,9.554497880940568e-8,5.4470390142993405e-8,1.5276462053733497e-7
1000/DecimalRaw Integer/-,7.071635047842164e-5,7.020266142262913e-5,7.146631968160516e-5,2.058876593139807e-6,1.3979036195270257e-6,2.688435702506762e-6
1000/DecimalRaw Integer/*,8.711634300691147e-2,8.707489735191043e-2,8.718001024715487e-2,8.866516524018756e-5,5.892511237123128e-5,1.12364546392384e-4
1000/DecimalRaw Integer//,9.245403355844091e-2,9.19534580582388e-2,9.413061921452243e-2,1.2606997542183812e-3,3.1122894338451036e-4,2.0233031851034236e-3
1000/DecimalRaw Integer/abs,8.82399304842237e-6,8.798792709061545e-6,8.876869597488833e-6,1.1028410700313161e-7,7.288464066350621e-8,1.8813243138178695e-7
1000/DecimalRaw Integer/signum,8.045436372726072e-6,8.033289630360767e-6,8.062803566279633e-6,4.930960015849381e-8,3.912350862561111e-8,6.238908673236137e-8
1000/DecimalRaw Integer/fromRational,7.145960033905761e-2,7.143747613769541e-2,7.150170009852029e-2,5.207214127804726e-5,2.445012142277023e-5,8.295661727996637e-5
1000/DecimalRaw Integer/toRational,1.950751168530564e-4,1.9499200092109293e-4,1.952333761649327e-4,3.4544500620584066e-7,1.8886048846556807e-7,5.796730442485232e-7
1000/DecimalRaw Integer/show,1.383559852680934e-4,1.3809908281895228e-4,1.3877233985521497e-4,1.0549603466018142e-6,6.431520705398511e-7,1.5889348200124207e-6
1000/DecimalRaw Integer/read,5.389225270942886e-4,5.385637730489776e-4,5.400258563778036e-4,1.895136301196164e-6,6.054749341210722e-7,3.7044415368549052e-6
