Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
1000/Decimal Word64 5/show,1.413126910471911e-4,1.408506964939013e-4,1.418135982911277e-4,1.584553597831687e-6,1.3233665637215806e-6,1.9272214199195007e-6
1000/Decimal Word64 5/read,1.788620803345371e-3,1.784150805656128e-3,1.793359206139735e-3,1.537917598370859e-5,1.29952640541655e-5,1.907084479420613e-5
1000/Decimal Word128 5/+,5.952927882891424e-6,5.928109460191475e-6,5.9650665498047215e-6,5.887226732760423e-8,3.100506011527714e-8,1.0606341489496366e-7
1000/Decimal Word128 5/-,5.61048100921487e-6,5.5223197961262145e-6,5.6424570671674135e-6,1.604045297108846e-7,3.641006257384132e-8,3.2235671990352527e-7
1000/Decimal Word128 5/*,2.1539472966231374e-5,2.1373305554113668e-5,2.1719520693839974e-5,5.899139173685485e-7,4.7027793334510004e-7,7.620752605513118e-7
1000/Decimal Word128 5//,2.129322682043804e-5,2.109749327472769e-5,2.1504607213498486e-5,6.652339805190595e-7,5.28996806939086e-7,8.787200085882799e-7
1000/Decimal Word128 5/abs,1.6592713372567777e-5,1.6375841315794563e-5,1.6848290464074134e-5,7.743698419748296e-7,6.474281693608237e-7,1.0068196764728738e-6
1000/Decimal Word128 5/signum,1.368292255653306e-5,1.3598088589017884e-5,1.3813333980302908e-5,3.6460177045692635e-7,2.461501933940025e-7,5.212131117366458e-7
1000/Decimal Word128 5/fromRational,2.946346083697797e-4,2.9358468143470863e-4,2.9584653371087476e-4,3.771956827443955e-6,3.1553601136867565e-6,4.6492484100848815e-6
1000/Decimal Word128 5/toRational,8.520462933716938e-5,8.50082032544458e-5,8.550548439786478e-5,7.88646557122987e-7,5.722560608082374e-7,1.2735489658110898e-6
1000/Decimal Word128 5/show,1.8257923937201495e-4,1.819577151641389e-4,1.8314692432648742e-4,1.967813314764477e-6,1.6935694264960782e-6,2.3024342768881026e-6
1000/Decimal Word128 5/read,1.8708165476066729e-3,1.8654546236382978e-3,1.8759780005244407e-3,1.802799418002266e-5,1.5912269656485054e-5,2.1300003764011786e-5
1000/Decimal Word256 15/+,7.374633394012557e-6,7.24352221682282e-6,7.455729649772603e-6,3.246668541532017e-7,2.1325099158512795e-7,4.229262306396724e-7
1000/Decimal Word256 15/-,1.18828171855545e-5,1.1869349809335552e-5,1.1899574244210758e-5,5.15054546750777e-8,4.104645190757429e-8,6.593412623926471e-8
1000/Decimal Word256 15/*,2.0031613376926723e-4,1.99407154438775e-4,2.014364912906517e-4,3.4205363559355555e-6,2.8612315742398156e-6,4.064121272395896e-6
